date,sales,operating profit,net profit,Total assets,total liabilities,total capital,sales activity,investment activity,finance activity,subscribers(millions)
20.3 quarter,10659,2732,1424,33438,21398,10087,3418,-697,-1637,57
21.1 quarter,10780,2132,982,33625,21050,10815,2673,-1637,-1759,64
21.3 quarter,11890,1992,1239,34318,20920,11611,2467,59,-1088,69.4
22.1 quarter,12558,1969,1322,33799,20237,11969,2852,1143,-971,76.8
22.3 quarter,25996,-4968,-5232,136049,85969,48517,2342,-390,-6512,96.1
23.1 quarter,41358,-8280,-8896,130584,82742,46496,3350,3028,-7587,
